3.90981, 0, 0, 0, 9.5379, 3.66511, 1.46282, 8.06971, 8.5591, 0, 1.95222, 0, 2.68632, 0, 0, 1.46282
5.10354, 1.92245, 0, 0.698951, 5.10354, 8.77404, 6.81644, 0, 5.34824, 11.4657, 10.2422, 0, 4.61414, 10.9763, 10.4869, 0.454251
6.84778, 6.35838, 0, 1.21969, 16.1464, 14.4335, 10.5183, 0, 17.1252, 0, 1.46439, 0.240894, 0, 0, 0, 3.66669
0, 0, 3.918, 0, 0.736907, 0, 0, 0, 12.7272, 0, 3.1839, 0, 8.07789, 0, 0, 0
0, 0, 6.63205, 0.514566, 0, 1.98276, 0, 0, 0, 0, 0, 0, 0, 0, 1.73806, 0
9.17474, 9.41944, 6.97245, 0, 6.97245, 0.61026, 0, 0, 0, 0, 3.05726, 10.6429, 6.97245, 6.72775, 12.8452, 11.6217
0, 0, 0, 0, 7.81186, 9.52476, 12.9506, 0.715576, 1.93907, 2.18377, 0, 4.38607, 6.09896, 16.621, 11.2377, 0
0, 0, 0, 0, 3.16349, 0, 0, 0, 0, 0, 0, 0, 0, 3.40819, 5.36578, 1.45059
1.31259, 8.65358, 17.2181, 3.51489, 0, 11.3453, 8.65358, 10.1218, 10.6112, 13.5476, 9.87708, 0, 0, 4.98309, 0, 0
6.8178, 16.1164, 5.839, 10.733, 0, 4.8602, 0, 12.9353, 7.5519, 12.6906, 0, 15.1376, 1.67911, 3.392, 0.210911, 8.53069
3.93323, 5.15673, 5.15673, 18.3705, 8.33782, 6.86962, 9.80602, 15.6788, 10.7848, 0, 5.40143, 1.97563, 10.5401, 20.3281, 12.4977, 2.70973
5.63927, 10.2886, 1.23467, 0, 3.43697, 2.45817, 0, 0, 0.255877, 0, 0, 4.90517, 2.45817, 1.72407, 0, 2.94757
0, 0.309741, 12.7894, 11.3212, 0, 0, 0, 14.2576, 10.8318, 12.5447, 4.22493, 1.77794, 0, 6.67193, 5.44843, 2.51204
0, 13.315, 13.0703, 2.30353, 0, 4.75053, 13.315, 0, 0, 7.19753, 7.93162, 0, 0, 2.54823, 4.26113, 2.54823
0, 1.1769, 0.442799, 0, 6.56029, 9.00728, 13.6566, 8.27318, 10.2308, 0, 11.699, 0, 5.09209, 0, 12.4331, 0
0, 0, 0, 0.723441, 5.86213, 0, 5.12803, 21.7676, 2.92574, 0, 0, 7.33033, 4.14923, 12.2243, 4.63863, 10.2667
4.21566, 0, 4.70506, 0.055768, 0, 0, 0, 11.3119, 0.545167, 0, 0, 4.94976, 1.03457, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.6121
3.71407, 7.13987, 7.38457, 0, 0, 2.49058, 4.20347, 4.93757, 1.75648, 0.043582, 0.043582, 0, 3.22468, 7.13987, 10.0763, 0
0, 4.77792, 0, 0, 1.35212, 0, 0, 0, 3.06502, 1.10742, 8.69311, 2.08622, 0, 12.853, 12.6083, 6.24611
3.9656, 0, 0, 0, 4.6997, 4.6997, 0.539809, 0, 2.00801, 0, 0, 0, 4.9444, 4.455, 0, 0
